"ID","Name","Company","State","City","Age","Salary","Location","Url"
"3","Social Media Specialist/Senior Social Media Specialist","Boston College","MA","Chestnut Hill","","$40k-$62k","Chestnut Hill, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=0000016115363f00b683769800ab6aca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ccb418f7&cb=1516479332947&jobListingId=2641337866"
"4","Marketing Consultant","Rose International","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=0000016115363f00b683769800ab6aca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6beede59&cb=1516479332948&jobListingId=2572336253"
"5","Production Artist","Creative Circle","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=134410&s=58&guid=0000016115363f00b683769800ab6aca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4b6cb280&cb=1516479332949&jobListingId=2641337802"
"8","Boston Area Jobs","Emerson College","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=37049&s=58&guid=0000016115363f00b683769800ab6aca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4e3ed3a5&cb=1516479332953&jobListingId=2641357399"
"9","Print Production Artist","LSC Communications","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=173064&s=58&guid=0000016115363f00b683769800ab6aca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4d96fab1&cb=1516479332954&jobListingId=2641515359"
"11","Jr. Designer, Marketing","Rue La La","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=186496&s=58&guid=0000016115363f00b683769800ab6aca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c2d7217&cb=1516479332956&jobListingId=2641864479"
